基金代码,基金名称,基金公司,到期时间,折价率,剩余时间,每周增幅,每月增幅,综合得分
501201,科创红土,红土创新,2023-07-23,-23.068,1.96,5.59,24.38,29.97
168207,中融创业,中融基金,2022-08-21,13.226,1.04,5.85,13.85,19.7
161912,社会责任,万家基金,2022-04-17,6.880,0.70,1.99,16.5,18.49
501078,科创配置,广发基金,2022-06-11,9.013,0.85,1.11,16.7,17.81
501046,财通福鑫,财通基金,2022-04-27,6.198,0.72,1.27,14.33,15.6
162720,创业广发,广发基金,2022-09-24,13.539,1.13,1.06,14.45,15.51
161040,创业富国,富国基金,2022-07-14,9.025,0.94,1.96,12.82,14.78
501085,科创财通,财通基金,2022-07-11,12.107,0.93,1.6,12.28,13.88
501064,国泰价值,国泰基金,2022-01-10,2.535,0.43,1.59,11.16,12.75
501079,科创大成,大成基金,2022-07-18,9.278,0.95,3.57,7.63,11.2
501095,BOCI科创,中银国际,2023-03-12,17.417,1.60,3.2,7.9,11.1
506002,易基科创,易方达,2022-07-28,12.551,0.97,-1.27,11.21,9.94
501075,科创主题,万家基金,2022-06-12,8.518,0.85,1.48,8.28,9.76
501202,科创华泰,华泰证券,2023-07-17,17.375,1.95,2.65,7.08,9.73
160143,创业LOF,南方基金,2022-09-01,14.607,1.07,3.24,6.43,9.67
160926,创业大成,大成基金,2022-07-16,11.831,0.94,2.94,6.56,9.5
169102,东证睿阳,东方资管,2022-01-16,3.936,0.45,2.47,6.01,8.48
160527,研究优选,博时基金,2023-03-20,12.153,1.62,2.0,5.7,7.7
501097,科创国寿,国寿安保,2023-03-26,5.071,1.64,0.13,7.3,7.43
501203,易基未来,易方达,2022-03-29,6.163,0.64,2.01,5.3,7.31
501099,科创平安,平安基金,2023-04-10,5.961,1.68,-4.75,11.92,7.17
160325,华夏创业,华夏基金,2022-07-24,10.925,0.96,1.27,5.0,6.27
163418,兴全合兴,兴全基金,2023-01-12,6.200,1.44,1.74,4.0,5.74
160529,创业博时,博时基金,2022-09-03,13.066,1.08,1.77,3.62,5.39
161729,招商瑞利,招商基金,2022-07-18,4.403,0.95,0.3,4.95,5.25
501096,科创国联,国联安,2023-03-20,14.575,1.62,0.26,4.77,5.03
501207,华夏创新,华夏基金,2022-04-13,6.545,0.69,2.38,2.59,4.97
501082,科创投资,博时基金,2022-06-27,10.593,0.89,-1.53,6.48,4.95
501208,中欧创新,中欧基金,2022-04-09,6.473,0.67,1.85,3.05,4.9
166024,中欧恒利,中欧基金,2023-11-28,7.602,2.31,4.23,0.63,4.86
501062,南方瑞合,南方基金,2021-09-06,1.647,0.09,1.78,3.05,4.83
506000,科创板基,南方基金,2023-07-28,19.148,1.98,-3.0,7.43,4.43
501098,科创建信,建信基金,2023-03-26,9.740,1.64,0.03,4.29,4.32
161914,万家创业,万家基金,2022-08-14,11.868,1.02,-1.38,5.63,4.25
501081,科创中欧,中欧基金,2022-06-28,7.399,0.89,0.58,3.58,4.16
506001,万家科创,万家基金,2022-08-03,11.732,0.99,-1.03,4.95,3.92
166027,中欧创业,中欧基金,2022-07-16,10.629,0.94,1.79,1.84,3.63
506006,添富科创,汇添富,2022-07-28,11.449,0.97,-0.25,3.28,3.03
506003,富国科创,富国基金,2022-07-29,11.970,0.98,0.47,2.55,3.02
501076,科创基金,鹏华基金,2022-06-10,6.671,0.84,0.09,2.73,2.82
501073,科创混合,华安基金,2022-06-11,5.118,0.85,0.47,2.23,2.7
184801,鹏华前海,鹏华基金,2025-07-06,5.101,3.92,0.74,1.52,2.26
160526,博时优势,博时基金,2022-06-03,7.036,0.82,1.48,0.36,1.84
501080,科创中金,中金基金,2022-07-11,10.593,0.93,1.95,-0.46,1.49
501070,广发睿阳,广发基金,2022-01-31,4.577,0.49,1.36,-0.02,1.34
501053,东证目优,东方资管,2024-01-05,2.394,2.42,0.71,0.44,1.15
166025,中欧远见,中欧基金,2023-05-13,8.066,1.77,1.53,-0.43,1.1
169106,东证创优,东方资管,2024-04-08,2.496,2.67,0.59,0.18,0.77
169107,东证恒阳,东方资管,2025-02-13,11.440,3.53,2.78,-2.14,0.64
501200,科创加银,民生加银,2023-05-15,5.718,1.77,0.83,-0.4,0.43
501092,交银瑞思,交银施罗德,2023-02-21,9.760,1.54,2.07,-1.74,0.33
501091,嘉实瑞熙,嘉实基金,2023-01-20,8.752,1.46,2.54,-2.33,0.21
160726,嘉实瑞享,嘉实基金,2022-08-18,6.816,1.03,1.25,-1.26,-0.01
501071,泓德丰泽,泓德基金,2022-03-28,4.446,0.64,1.42,-1.58,-0.16
501077,科创富国,富国基金,2022-06-11,8.498,0.85,0.62,-0.8,-0.18
506005,科创板BS,博时基金,2023-07-29,19.222,1.98,-1.5,1.27,-0.23
501038,银华明择,银华基金,2022-03-01,3.735,0.57,4.0,-4.58,-0.58
501088,嘉实瑞虹,嘉实基金,2022-09-04,7.542,1.08,2.3,-2.9,-0.6
501063,添富悦享,汇添富,2023-02-11,6.329,1.52,1.25,-2.54,-1.29
161837,银华大盘,银华基金,2021-12-16,2.566,0.36,2.09,-3.42,-1.33
501083,科创银华,银华基金,2022-07-05,8.073,0.91,-0.7,-2.17,-2.87
501206,添富创新,汇添富,2022-04-13,6.489,0.69,-0.2,-2.84,-3.04
167508,安信价值,安信基金,2022-04-30,5.258,0.73,1.59,-4.72,-3.13
501066,东证恒元,东方资管,2023-11-02,9.511,2.24,3.31,-6.79,-3.48
501049,东证睿玺,东方资管,2023-11-28,9.501,2.31,3.32,-7.34,-4.02
501054,东证睿泽,东方资管,2024-02-24,10.234,2.55,1.91,-6.35,-4.44
169103,东证睿轩,东方资管,2022-03-09,3.020,0.59,0.4,-5.86,-5.46
501065,经典成长,汇添富,2021-12-05,2.044,0.33,1.86,-7.76,-5.9
501087,交银瑞丰,交银施罗德,2022-09-04,5.874,1.08,0.25,-6.57,-6.32
161132,易基科顺,易方达,2021-10-26,1.694,0.22,1.64,-11.28,-9.64
160645,鹏华回报,鹏华基金,2022-06-25,6.012,0.89,0.08,-10.36,-10.28
501205,鹏华创新,鹏华基金,2022-03-30,4.225,0.65,-0.32,-10.48,-10.8
501093,华夏翔阳,华夏基金,2022-03-06,5.202,0.58,1.46,-12.65,-11.19
