公司名称,股票代码,顶格申购金额,发行价格,收盘价,网上中签率,一签获利,上市日期,inc,
华熙生物,688363,95000,47.79,85.1,0.0485,17610,2019/11/6,854.085,
长阳科技,688299,200000,13.71,17.86,0.04856,2160,2019/11/6,104.8896,
安恒信息,688023,45000,56.5,79.06,0.04196,8835,2019/11/5,370.7166,
中国电研,688128,95000,18.79,26.92,0.04742,2615,2019/11/5,124.0033,
美迪西,688202,35000,41.5,71,0.04433,14785,2019/11/5,655.41905,
普门科技,688389,70000,9.1,19.63,0.04803,5805,2019/11/5,278.81415,
久日新材,688199,80000,66.68,70.96,0.04196,2440,2019/11/5,102.3824,
宝兰德,688058,25000,79.3,100.2,0.04579,11920,2019/11/1,545.8168,
钢研纳克,300797,245000,4.5,6.48,0.04086,11465,2019/11/1,468.4599,13252.37275
杰普特,688025,65000,43.86,58.66,0.04209,8080,2019/10/31,340.0872,
致远互联,688369,50000,49.39,76.9,0.04468,14035,2019/10/31,627.0838,
昊海生科,688366,45000,89.23,130.7,0.04134,22820,2019/10/30,943.3788,
赛诺医疗,688108,95000,6.99,22.21,0.0497,8270,2019/10/30,411.019,
渝农商行,601077,4070000,7.36,9.35,0.35115,1130,2019/10/29,396.7995,
麒盛科技,603610,150000,44.66,64.31,0.03395,13840,2019/10/29,469.868,
左江科技,300799,170000,21.48,30.93,0.01503,61435,2019/10/29,923.36805,
豪尔赛,2963,150000,23.66,34.07,0.02922,7380,2019/10/28,215.6436,
申联生物,688098,95000,8.8,36.81,0.04848,9565,2019/10/28,463.7112,
海尔生物,688139,225000,15.53,30.47,0.05044,7375,2019/10/25,371.995,
祥鑫科技,2965,150000,19.89,28.64,0.02931,8075,2019/10/25,236.67825,
*ST米奥,300795,100000,14.27,20.55,0.02784,11160,2019/10/22,310.6944,
交建股份,603815,140000,5.14,7.4,0.04823,12270,2019/10/21,591.7821,
佳禾智能,300793,160000,13.43,19.34,0.03514,16845,2019/10/18,591.9333,
科博达,603786,120000,26.89,38.72,0.04217,21420,2019/10/15,903.2814,
晶丰明源,688368,40000,56.68,104.36,0.04529,23185,2019/10/14,1050.04865,8847.37225
山石网科,688030,110000,21.06,44.8,0.04616,13500,2019/9/30,623.16,
传音控股,688036,135000,35.15,57.8,0.05419,12125,2019/9/30,657.05375,
热景生物,688068,40000,29.46,70.89,0.04504,25375,2019/9/30,1142.89,
